Src IP: 192.168.1.92, Dst IP: 54.175.57.129, Protocol: 6, Size: 54 bytes
Src IP: 18.204.148.176, Dst IP: 192.168.1.92, Protocol: 6, Size: 1178 bytes
Src IP: 192.168.1.92, Dst IP: 18.204.148.176, Protocol: 6, Size: 54 bytes
Src IP: 192.168.1.92, Dst IP: 54.175.57.129, Protocol: 6, Size: 66 bytes
Src IP: 192.168.1.92, Dst IP: 18.204.148.176, Protocol: 6, Size: 66 bytes
Src IP: 192.168.1.92, Dst IP: 18.210.201.127, Protocol: 6, Size: 66 bytes
Src IP: 18.210.201.127, Dst IP: 192.168.1.92, Protocol: 6, Size: 1178 bytes
Src IP: 192.168.1.124, Dst IP: 239.255.255.250, Protocol: 17, Size: 167 bytes
Src IP: 192.168.1.92, Dst IP: 18.210.201.127, Protocol: 6, Size: 54 bytes
Src IP: 54.175.57.129, Dst IP: 192.168.1.92, Protocol: 6, Size: 66 bytes
Src IP: 192.168.1.92, Dst IP: 54.175.57.129, Protocol: 6, Size: 54 bytes
Src IP: 18.204.148.176, Dst IP: 192.168.1.92, Protocol: 6, Size: 66 bytes
Src IP: 192.168.1.92, Dst IP: 18.204.148.176, Protocol: 6, Size: 54 bytes
Src IP: 192.168.1.92, Dst IP: 54.175.57.129, Protocol: 6, Size: 571 bytes
Src IP: 18.210.201.127, Dst IP: 192.168.1.92, Protocol: 6, Size: 66 bytes
Src IP: 192.168.1.92, Dst IP: 18.210.201.127, Protocol: 6, Size: 54 bytes
Src IP: 192.168.1.92, Dst IP: 18.210.201.127, Protocol: 6, Size: 571 bytes
Src IP: 192.168.1.92, Dst IP: 18.204.148.176, Protocol: 6, Size: 571 bytes
Src IP: 54.175.57.129, Dst IP: 192.168.1.92, Protocol: 6, Size: 54 bytes
Src IP: 18.204.148.176, Dst IP: 192.168.1.92, Protocol: 6, Size: 54 bytes
Src IP: 18.210.201.127, Dst IP: 192.168.1.92, Protocol: 6, Size: 54 bytes
Src IP: 54.175.57.129, Dst IP: 192.168.1.92, Protocol: 6, Size: 2878 bytes
Src IP: 192.168.1.92, Dst IP: 54.175.57.129, Protocol: 6, Size: 54 bytes
Src IP: 54.175.57.129, Dst IP: 192.168.1.92, Protocol: 6, Size: 950 bytes
Src IP: 192.168.1.92, Dst IP: 54.175.57.129, Protocol: 6, Size: 148 bytes
Src IP: 192.168.1.92, Dst IP: 54.175.57.129, Protocol: 6, Size: 341 bytes
Src IP: 18.204.148.176, Dst IP: 192.168.1.92, Protocol: 6, Size: 2878 bytes
Src IP: 18.210.201.127, Dst IP: 192.168.1.92, Protocol: 6, Size: 2878 bytes
Src IP: 18.204.148.176, Dst IP: 192.168.1.92, Protocol: 6, Size: 950 bytes
Src IP: 18.210.201.127, Dst IP: 192.168.1.92, Protocol: 6, Size: 950 bytes
Src IP: 192.168.1.92, Dst IP: 18.204.148.176, Protocol: 6, Size: 54 bytes
Src IP: 192.168.1.92, Dst IP: 18.210.201.127, Protocol: 6, Size: 54 bytes
Src IP: 192.168.1.92, Dst IP: 18.210.201.127, Protocol: 6, Size: 148 bytes
Src IP: 192.168.1.92, Dst IP: 18.204.148.176, Protocol: 6, Size: 148 bytes
Src IP: 192.168.1.92, Dst IP: 18.210.201.127, Protocol: 6, Size: 341 bytes
Src IP: 192.168.1.92, Dst IP: 18.204.148.176, Protocol: 6, Size: 341 bytes
Src IP: 54.175.57.129, Dst IP: 192.168.1.92, Protocol: 6, Size: 54 bytes
Src IP: 54.175.57.129, Dst IP: 192.168.1.92, Protocol: 6, Size: 54 bytes
Src IP: 54.175.57.129, Dst IP: 192.168.1.92, Protocol: 6, Size: 198 bytes
Src IP: 54.175.57.129, Dst IP: 192.168.1.92, Protocol: 6, Size: 1218 bytes
